case,context,strategy,share,before_viable,after_viable,after_si,after_sj,after_t,total_public_usd,private_gain_usd,additional_discounted_mwh
t_burn=0.1,area,New technology,0.0,337,337,337,0,0,0.0,0.0,0.0
t_burn=0.1,area,Matched gap,0.0,337,337,337,0,0,0.0,0.0,0.0
t_burn=0.1,area,General,0.1,337,337,337,0,0,28272515.530322563,26926205.26697386,0.0
t_burn=0.1,area,New technology,0.1,337,337,335,2,0,101365.1255749302,13444.499655097723,-6391.005532854057
t_burn=0.1,area,Matched gap,0.1,337,337,337,0,0,0.0,0.0,0.0
t_burn=0.1,area,General,0.2,337,337,337,0,0,56545031.060645126,53852410.53394775,0.0
t_burn=0.1,area,New technology,0.2,337,337,3,18,316,74649696.69707887,15921403.903059304,690156.6166313617
t_burn=0.1,area,Matched gap,0.2,337,337,337,0,0,0.0,0.0,0.0
t_burn=0.1,area,General,0.3,337,337,337,0,0,84817546.5909677,80778615.80092162,0.0
t_burn=0.1,area,New technology,0.3,337,337,0,3,334,115916229.59294096,52448194.324606135,776957.3516939755
t_burn=0.1,area,Matched gap,0.3,337,337,337,0,0,0.0,0.0,0.0
t_life=18.0,cap,General,0.0,258,258,123,135,0,0.0,0.0,0.0
t_life=18.0,cap,New technology,0.0,258,258,123,135,0,0.0,0.0,0.0
t_life=18.0,cap,Matched gap,0.0,258,258,123,135,0,0.0,0.0,0.0
t_life=18.0,cap,General,0.1,258,294,212,82,0,15752358.408689465,13590172.695179444,674049.7290951391
t_life=18.0,cap,New technology,0.1,258,294,0,294,0,11884950.0,9242228.968988221,256723.3444354371
t_life=18.0,cap,Matched gap,0.1,258,294,212,82,0,1482807.2787510443,124.00000000000091,674049.7290951391
t_life=18.0,cap,General,0.2,258,313,313,0,0,36725850.301130205,29925854.220964156,1059572.7812735206
t_life=18.0,cap,New technology,0.2,258,311,0,311,0,25144350.0,20871575.615580227,487290.344632922
t_life=18.0,cap,Matched gap,0.2,258,313,313,0,0,5303902.869117841,190.00000000000182,1059572.7812735206
t_life=18.0,cap,General,0.3,258,333,333,0,0,58608825.001324385,48143616.906057514,1332423.8236313215
t_life=18.0,cap,New technology,0.3,258,330,0,330,0,40020750.0,33275112.767909054,728774.852654143
t_life=18.0,cap,Matched gap,0.3,258,333,333,0,0,8058247.749963999,210.00000000000182,1332423.8236313215
t_life=18.0,area,General,0.0,337,337,337,0,0,0.0,0.0,0.0
t_life=18.0,area,New technology,0.0,337,337,337,0,0,0.0,0.0,0.0
t_life=18.0,area,Matched gap,0.0,337,337,337,0,0,0.0,0.0,0.0
t_life=18.0,area,General,0.1,337,337,337,0,0,28272515.530322563,26926205.26697386,0.0
